nct_id,title,status,phase,condition,enrollment,start_date,completion_date
NCT07784725,A Study to Evaluate Effect of AZD6234 in Adult Participants With Obesity or Overweight With Weight-related Comorbidity Without Type 2 Diabetes Mellitus,RECRUITING,PHASE3,Obesity or Overweight,2500.0,2026-08-19,2029-05-21
NCT00878618,Pharmacokinetics of Extended-Release Test- and Reference Formulations of AZD0837,COMPLETED,PHASE1,Healthy,36.0,2009-04,2009-05
NCT03236974,Study to Compare the Effects of AZD9496 vs Fulvestrant in Breast Cancer.,COMPLETED,PHASE1,Postmenopausal Women With ER+ HER2- Primary Breast Cancer,49.0,2017-10-05,2019-02-12
NCT05821231,Study Evaluating the Safety and Efficacy of MEDI5752 in Combination With Stereotactic Radiotherapy in Patients With Metastatic Sarcoma,COMPLETED,PHASE1,Soft Tissue Sarcoma,14.0,2023-12-12,2026-09-07
NCT01051505,"A Study to Assess the Safety, Tolerability, Pharmacokinetics (PK) and Pharmacodynamics (PD) of Multiple Ascending Doses of AZD5069 in Healthy Volunteers",COMPLETED,PHASE1,Healthy,8.0,2010-01,2010-04
NCT07069725,"The Phase 1, Open-label, PET Trial Designed to Investigate the Effect of AZD2389 on FAP Occupancy in the Liver in Participants With Advanced Liver Fibrosis.",COMPLETED,PHASE1,"Liver Fibrosis, Hepatic Cirrhosis",8.0,2025-05-26,2026-07-02
NCT03314818,Natural History of Carotid Plaque as Determined by 3D Ultrasound,UNKNOWN,,"Atherosclerotic Disease, Plaque, Atherosclerotic, Heart Diseases, Stroke, Cardiovascular Risk Factor",1000.0,2017-09-22,2023-10-22
NCT07161882,ALG-LungCancerRegistry (SAFRO2202),RECRUITING,,"Lung Neoplasms, Carcinoma, Non-Small-Cell Lung, Carcinoma, Small Cell, Carcinoid Tumor",3750.0,2025-06-01,2027-12
NCT04470674,Study of Durvalumab or Durvalumab Plus Chemotherapy in Kras Mutation Positive and PD-L1 High (≥ 50%) NSCLC Patients,WITHDRAWN,PHASE2,"Lung Cancer, Non-small Cell Lung Cancer, PD-L1 Gene Mutation, KRAS Activating Mutation",0.0,2021-04-06,2021-06-08
NCT06639997,Safety and Tolerability of AZD5148 in Japanese Participants,COMPLETED,PHASE1,Clostridioides Difficile Infection,16.0,2024-10-31,2025-12-25
NCT05000710,"Concomitant Radiotherapy, Tremelimumab & Durvalumab for Advanced NSCLC Patients Progressing on First-line Immunotherapy",ACTIVE_NOT_RECRUITING,PHASE2,Metastatic or Locally Advanced NSCLC,29.0,2021-12-09,2026-12
NCT00400582,A Pharmacogenomic Study of Candesartan in Heart Failure,COMPLETED,PHASE4,Heart Failure,300.0,2006-11,2010-04
NCT04884360,D9319C00001- 1L OC Mono Global RCT,ACTIVE_NOT_RECRUITING,PHASE3,Ovarian Cancer,366.0,2021-05-31,2027-07-27
NCT00504062,"Open-label, Safety and Efficacy Study of Pulmicort® Turbuhaler® in Japanese Children With Bronchial Asthma",COMPLETED,PHASE3,Asthma,240.0,2006-10,2007-10
NCT02031679,Efficacy and Safety of Chemoattractant Receptor-homologous Molecule Expressed on T Helper Type 2 (CRTh2) Antagonist AZD1981 in Chronic Idiopathic Urticaria (CIU) Antihistamines,COMPLETED,PHASE2,Chronic Idiopathic Urticaria,38.0,2014-01,2016-01
NCT04484259,Ticagrelor With and Without Aspirin in Patients With Diabetes Mellitus,COMPLETED,PHASE4,"Diabetes Mellitus, Type 2, Coronary Artery Disease",105.0,2021-03-31,2024-06-15
NCT00034879,Iressa Expanded Access Program (EAP),COMPLETED,PHASE3,"Carcinoma, Non-small-cell Lung, Metastases, Neoplasm",,2000-08,2003-10
NCT01954303,HsTnT in Stable Coronary Artery Disease,COMPLETED,,Coronary Artery Disease,965.0,2013-10,2015-04
NCT04372927,ADMIRAL Trial: Adaptive Mediastinal Radiation With Chemo-Immunotherapy,TERMINATED,PHASE2,"Locally Advanced Lung Non-Small Cell Carcinoma, Stage III Lung Cancer AJCC v8, Stage IIIA Lung Cancer AJCC v8, Stage IIIB Lung Cancer AJCC v8, Stage IIIC Lung Cancer AJCC v8",1.0,2021-12-10,2022-04-23
NCT01254461,A Drug-Drug Interaction Study Between AZD1981 and Pravastatin to Study the Effect of AZD1981 on the Kinetics of Pravastatin,COMPLETED,PHASE1,Drug Interaction,30.0,2011-02,2011-04
NCT01949870,"Selumetinib (AZD6244, ARRY-142886) J-BTC Phase 1 Study",TERMINATED,PHASE1,Inoperable Locally Advanced or Metastatic Biliary Tract Cancer,6.0,2013-10,2014-08
NCT05462119,Safety of Oral Resin for Treatment of Hyperkalemia in Chinese Patients With Renal Insufficiency,COMPLETED,,Hyperkalaemia,887.0,2022-08-22,2023-12-29
NCT02346292,Observational Multicenter Non-interventional Study on COPD Patients Treatment Strategies at the Time of Hospital Discharge and Within 12 Months of Follow-up on an Outpatient Primary Care Basement,COMPLETED,,COPD,1250.0,2015-03-31,2016-12-30
NCT04536402,Evaluate the Safety Profile of BGF MDI in Chinese Patients With COPD in Routine Clinical Practice,COMPLETED,,Chronic Obstructive Pulmonary Disease,3520.0,2021-03-16,2023-11-08
NCT00558272,Study to Evaluate the Safety and Effects AZD0530 on Prostate and Breast Cancer Subjects With Metastatic Bone Disease,COMPLETED,PHASE2,"Breast Cancer, Prostate Cancer, Bone Neoplasms",139.0,2008-02,2012-08
NCT05888207,A Study to Assess the Effects of Fluvoxamine on Savolitinib Exposure in Healthy Male Subjects,COMPLETED,PHASE1,Healthy Male Subjects,16.0,2023-06-02,2023-08-17
NCT00634400,Candesartan in Heart Failure Assessment of Reduction in Mortality and Morbidity (CHARM Alternative),COMPLETED,PHASE3,Congestive Heart Failure,6268.0,1999-03,2003-05
NCT01365000,Assessment of Relative Bioavailability of NKTR-118 in Three Formulations in Healthy Subjects,COMPLETED,PHASE1,Healthy,21.0,2011-06,2011-08
